time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1667332985999817500,140.0638173828125,236.00019570812583,1.4078781783833165,26.92276347610694,35.954489689417535,267.41019555553794,73.15019281570567,4.771637641546243,3.3250580822848557,-83.93773516605928,2.0973622143937662
1667332986999824400,141.06382446289064,236.01511110458523,0.8674756340882578,33.52126526388548,35.954489624523895,267.42511095199734,72.70326762231988,4.770641969072396,3.3264864700933154,-83.93773303515665,1.1708023928228928
1667332987999834000,142.06383422851562,235.98851675912738,1.384611790294909,40.71164724472915,35.95449513957365,267.3985166065395,72.64291753552878,4.804584709871801,3.277270632470707,-83.93771657476722,1.354389251737914
1667332988999837700,143.0638376464844,235.55935180652887,1.1244064976618005,33.16394516183968,35.954501630357775,266.969351653941,70.7758201751411,4.82644057453867,3.244997444257186,-83.93769762742498,1.4287499545739686
1667332989999842300,144.06384228515626,235.65475604496896,1.3735806688628378,39.47968781437789,35.95451267916319,267.0647558923811,64.30013437040787,4.8309862012922915,3.238226266910994,-83.93768179349925,1.5327815181839186
1667332990999849200,145.06384912109374,235.32369272597134,1.423928469440535,47.368398861065224,35.95451984683699,266.73369257338345,56.17030230381127,4.820195613985972,3.254266626399754,-83.93767260804398,1.244483522564554
1667332991999861500,146.06386157226564,235.60531817004085,1.3636741275002375,23.395971618863335,35.954514506656025,267.01531801745296,82.49281398962108,4.8137906895661935,3.2637334802086193,-83.9376248599706,2.2511632861404975
1667332992999872800,147.06387280273438,235.69970656279474,0.7862570081070779,32.755947092164476,35.9545182542818,267.10970641020685,83.73452640471149,4.8002806583879,3.2835716275872326,-83.93762283517965,1.2002516934408467
1667332993999884000,148.06388403320312,235.89965635631233,1.367928916018502,33.43994117941826,35.95452978757934,267.30965620372444,77.52533684513311,4.812634013919562,3.2654388496576274,-83.93760030942174,1.609796051709149
1667332994999893800,149.06389379882813,236.32709678355604,0.5584874768959687,30.45767466766855,35.9545455802039,267.73709663096815,58.05610574564056,4.786892487226008,3.303058786719975,-83.93759103428091,1.3246764599927001
1667332995999904500,150.06390454101563,236.54256127867848,1.2477140609835178,38.333507956692806,35.95455206128171,267.9525611260906,65.97413835971241,4.770723628115236,3.326369356660778,-83.93757400911876,1.328631778332368
1667332996999914000,151.0639140625,236.59013587236404,1.3226159447384305,33.58752547376367,35.954564489999555,268.00013571977615,61.55809497835973,4.762849723887595,3.3376338236020873,-83.93755031997964,1.6373305202542379
1667332997999923700,152.063923828125,236.67344081774354,0.9285863248367757,32.75819040629272,35.95456831880914,268.08344066515565,63.742591425599585,4.763482194146355,3.336731097772109,-83.93754022187757,1.2112046297043981
1667332998999932000,153.06393188476562,236.3038166705519,1.352139086115815,28.310575217579306,35.95457026381507,267.713816517964,73.89575608132344,4.772455658375547,3.3238838760745035,-83.93750920764167,1.8656378597142664
1667332999999940900,154.06394091796875,236.27992706373334,0.7234353265599264,32.42139129821286,35.954576514554525,267.68992691114545,69.98291637045827,4.754567074593579,3.3494221838967224,-83.93751167369965,1.0162858116330133
1667333000999949600,155.06394946289063,236.42656678892672,1.288351869571395,38.38156327737759,35.95458753295657,267.83656663633883,61.23044728018262,4.7596907132874895,3.342137242339648,-83.93749355289027,1.3964119635960164
1667333001999957500,156.06395751953124,236.23110688477755,1.1325203458299322,35.8941446668498,35.95459429183196,267.64110673218966,58.58706453239957,4.7768164451674116,3.317613853655516,-83.93747730419427,1.4230771903353623
1667333002999965700,157.06396557617188,236.15577809512615,1.2184396958628319,31.9092984622932,35.95459778264113,267.56577794253826,67.31085978252345,4.79759455453703,3.287495022515696,-83.9374568733353,1.5850761786478782
1667333003999972000,158.06397216796876,236.2474286267534,1.0926869683436211,34.85656570364962,35.95460188697451,267.6574284741655,66.940120393389,4.817740532552212,3.2579001202910396,-83.93744255561963,1.315116843683679
1667333004999979500,159.0639794921875,236.01194894034415,1.3626659753304824,34.438045826158096,35.954606139691144,267.42194878775626,70.66798352243104,4.8570559221131715,3.1989912163452723,-83.93742074124253,1.6404912840204813
1667333005999986400,160.063986328125,236.2279164614156,1.131601899613734,41.932123124328285,35.95461185504095,267.6379163088277,64.58924203814445,4.880049280820884,3.1638040472741684,-83.93741351398906,1.1906261502607816
1667333006999993900,161.06399389648436,236.09063454438,1.147344934310689,33.21420544876217,35.95461874988942,267.5006343917921,66.41155560283968,4.884450059968814,3.1570056453005417,-83.93739270029437,1.4813679273182527
1667333008000000000,162.064,236.1172821847722,1.335673361260896,36.09308013097436,35.95463050468906,267.5272820321843,59.939107699304415,4.8688195655443325,3.181058482794923,-83.93737345693782,1.596999601747928
1667333009000006100,163.06400610351562,235.9351006867364,0.8815100875165508,36.70545104063804,35.954636708287474,267.3451005341485,56.630734542410366,4.884414587520977,3.1570605268193885,-83.93736182417578,1.1920463119728706
1667333010000012500,164.06401245117186,236.05225507169962,1.4277497573574331,53.20762527542877,35.95464084410373,267.46225491911173,60.45843372416465,4.927223051752164,3.0898236245894246,-83.9373480992944,1.1723567781796809
1667333011000019200,165.06401928710937,236.2690903954208,1.3043257414873566,31.032278541965123,35.95464693066963,267.6790902428329,65.00913752536539,4.955557556632766,3.0441725206841883,-83.93731257885426,1.8434652873871045
1667333012000024800,166.06402490234376,236.47401761077344,0.6787516989986142,24.753313782650817,35.95464988029275,267.88401745818555,69.68093478670536,4.909435579650047,3.1180088713881227,-83.93729735569241,1.7970378623760217
1667333013000030000,167.06403002929687,236.64243235625327,0.6411259600844427,23.675936582734032,35.95465634079785,268.0524322036654,68.75728389418724,4.873512857728455,3.1738634908175025,-83.9372778009421,1.7750748654386541
1667333014000035800,168.06403588867187,236.76152234431356,0.7928362238566481,22.023253957581694,35.95465897790986,268.17152219172567,71.0460355689014,4.854147902276605,3.2034021251807396,-83.93725247695232,1.7807798597303381
1667333015000041000,169.064041015625,236.6902191368863,0.6879149515246643,22.604906985165066,35.9546653402817,268.1002189842984,68.19438972704242,4.833392504579722,3.2346335077503605,-83.9372352203658,1.7061815479156024
1667333016000046300,170.06404638671876,236.72868304513395,0.5939605695030414,25.305858326942218,35.95467664687464,268.13868289254606,60.91733433304733,4.845140735489079,3.217009214486831,-83.93722013343043,1.7076494175062336
1667333017000052500,171.0640524902344,236.86896467860788,0.5083994706254734,27.630453207410795,35.95468385488999,268.27896452602,61.76652780765209,4.870170858360692,3.1789892801271167,-83.93720501672149,1.7060065132156392
1667333018000056300,172.06405639648438,236.79372629895806,1.1306676052693019,33.75751673084332,35.954689500003305,268.2037261463702,64.50369976059368,4.897026275317387,3.137462460594542,-83.93718964230959,1.6006441774863576
1667333019000062500,173.0640625,237.01462901290506,1.2595852725053536,35.68897896368066,35.954698507312656,268.42462886031717,65.57231211335201,4.903119571496578,3.127931505067854,-83.93717543763903,1.5845104970492025
1667333020000066800,174.06406689453124,237.18393591232598,1.2169396981721199,32.09155650906486,35.95471140285146,268.5939357597381,65.75207333163767,4.869527314010829,3.1799749638780686,-83.93716148453272,1.5932455427072139
1667333021000072000,175.06407202148438,236.9383104937151,0.7641785390622734,23.517624106853294,35.954729434543644,268.3483103411272,64.33280593161062,4.860961259171408,3.193053815647889,-83.93714794657268,1.7276245424933503
